------------- Ours (eta = 0.5) ------------------------
              sR --> s #36(area 9), n_serv = 12.0, Tq = 5.33
[u45 - area6] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.72
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u46 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.47
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u47 - area2] sA --> s #22(area 2), n_serv = 1.0, Tq = 1.74
              sR --> s #22(area 2), n_serv = 12.0, Tq = 5.33
[u48 - area2] sA --> s #22(area 2), n_serv = 1.0, Tq = 1.74
              sR --> s #22(area 2), n_serv = 12.0, Tq = 5.33
[u49 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 1.52
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u50 - area10] sA --> s #39(area 10), n_serv = 1.0, Tq = 2.93
              sR --> s #39(area 10), n_serv = 11.0, Tq = 7.15
[u51 - area2] sA --> s #22(area 2), n_serv = 1.0, Tq = 2.73
              sR --> s #22(area 2), n_serv = 12.0, Tq = 5.33
[u52 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.5
              sR --> s #6(area 0), n_serv = 6.0, Tq = 11.45
[u53 - area3] sA --> s #25(area 3), n_serv = 1.0, Tq = 2.78
              sR --> s #6(area 0), n_serv = 6.0, Tq = 11.45
[u54 - area1] sA --> s #21(area 1), n_serv = 1.0, Tq = 2.85
              sR --> s #21(area 1), n_serv = 11.0, Tq = 5.31
[u55 - area6] sA --> s #5(area 0), n_serv = 1.0, Tq = 1.52
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u56 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 1.04
              sR --> s #6(area 0), n_serv = 6.0, Tq = 11.45
[u57 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.98
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u58 - area6] sA --> s #5(area 0), n_serv = 1.0, Tq = 1.24
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u59 - area5] sA --> s #29(area 5), n_serv = 1.0, Tq = 3.77
              sR --> s #29(area 5), n_serv = 11.0, Tq = 7.15
[u60 - area7] sA --> s #33(area 7), n_serv = 1.0, Tq = 2.85
              sR --> s #33(area 7), n_serv = 11.0, Tq = 7.15
[u61 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.98
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u62 - area9] sA --> s #36(area 9), n_serv = 1.0, Tq = 2.53
              sR --> s #36(area 9), n_serv = 12.0, Tq = 5.33
[u63 - area7] sA --> s #33(area 7), n_serv = 1.0, Tq = 0.87
              sR --> s #33(area 7), n_serv = 11.0, Tq = 7.15
[u64 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.23
              sR --> s #21(area 1), n_serv = 11.0, Tq = 5.31
[u65 - area9] sA --> s #36(area 9), n_serv = 1.0, Tq = 1.98
              sR --> s #36(area 9), n_serv = 12.0, Tq = 5.33
[u66 - area3] sA --> s #25(area 3), n_serv = 1.0, Tq = 2.78
              sR --> s #6(area 0), n_serv = 6.0, Tq = 11.45
[u67 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.16
              sR --> s #21(area 1), n_serv = 11.0, Tq = 5.31
[u68 - area6] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.72
              sR --> s #5(area 0), n_serv = 6.0, Tq = 9.79
[u69 - area5] sA --> s #29(area 5), n_serv = 1.0, Tq = 3.77
              sR --> s #29(area 5), n_serv = 11.0, Tq = 7.15
{'avg_delay': 0.10132244250664316, 'cost': 127.91428571428571, 'target_value': 165.279585363786, 'running_time': 1556.6473007202148, 'local_count': 74, 'common_count': 66}
