user_seed = 6267673218
------------- Ours (eta = 0.1) ------------------------
              sR --> s #36(area 9), n_serv = 14.0, Tq = 1.06
[u45 - area6] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.5
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u46 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.47
              sR --> s #5(area 0), n_serv = 7.0, Tq = 2.7
[u47 - area2] sA --> s #22(area 2), n_serv = 2.0, Tq = 0.03
              sR --> s #22(area 2), n_serv = 14.0, Tq = 1.06
[u48 - area2] sA --> s #22(area 2), n_serv = 2.0, Tq = 0.03
              sR --> s #22(area 2), n_serv = 14.0, Tq = 1.06
[u49 - area4] sA --> s #5(area 0), n_serv = 2.0, Tq = 0.03
              sR --> s #5(area 0), n_serv = 7.0, Tq = 2.7
[u50 - area10] sA --> s #38(area 10), n_serv = 2.0, Tq = 0.04
              sR --> s #38(area 10), n_serv = 14.0, Tq = 1.45
[u51 - area2] sA --> s #22(area 2), n_serv = 2.0, Tq = 0.07
              sR --> s #22(area 2), n_serv = 14.0, Tq = 1.06
[u52 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.5
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u53 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.86
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u54 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.06
              sR --> s #21(area 1), n_serv = 13.0, Tq = 0.99
[u55 - area6] sA --> s #0(area 0), n_serv = 1.0, Tq = 1.04
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u56 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 1.04
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u57 - area4] sA --> s #5(area 0), n_serv = 1.0, Tq = 0.98
              sR --> s #5(area 0), n_serv = 7.0, Tq = 2.7
[u58 - area6] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.86
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u59 - area5] sA --> s #29(area 5), n_serv = 2.0, Tq = 0.11
              sR --> s #29(area 5), n_serv = 13.0, Tq = 1.3
[u60 - area7] sA --> s #33(area 7), n_serv = 2.0, Tq = 0.08
              sR --> s #33(area 7), n_serv = 13.0, Tq = 1.3
[u61 - area4] sA --> s #27(area 4), n_serv = 2.0, Tq = 0.13
              sR --> s #27(area 4), n_serv = 13.0, Tq = 1.3
[u62 - area9] sA --> s #36(area 9), n_serv = 2.0, Tq = 0.06
              sR --> s #36(area 9), n_serv = 14.0, Tq = 1.06
[u63 - area7] sA --> s #33(area 7), n_serv = 1.0, Tq = 0.87
              sR --> s #33(area 7), n_serv = 13.0, Tq = 1.3
[u64 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.23
              sR --> s #21(area 1), n_serv = 13.0, Tq = 0.99
[u65 - area9] sA --> s #36(area 9), n_serv = 2.0, Tq = 0.04
              sR --> s #36(area 9), n_serv = 14.0, Tq = 1.06
[u66 - area3] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.86
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u67 - area1] sA --> s #21(area 1), n_serv = 2.0, Tq = 0.16
              sR --> s #21(area 1), n_serv = 13.0, Tq = 0.99
[u68 - area6] sA --> s #0(area 0), n_serv = 1.0, Tq = 0.5
              sR --> s #0(area 0), n_serv = 7.0, Tq = 2.7
[u69 - area5] sA --> s #29(area 5), n_serv = 2.0, Tq = 0.11
              sR --> s #29(area 5), n_serv = 13.0, Tq = 1.3
{'avg_delay': 0.09177037779223207, 'cost': 163.55714285714285, 'target_value': 108.12609207794635, 'running_time': 1243.1938648223877, 'local_count': 90, 'common_count': 50}
